Capacity,BlockSize,Associativity,WriteThrough,WriteAllocate,MissRate,TotalTime
33554432,1,1,0,0,0.15317,1766811
33554432,1,1,0,1,0.117548,2727931
33554432,1,1,1,0,0.15317,1766811
33554432,1,1,1,1,0.117548,1753711
33554432,2,1,0,0,0.15317,1766811
33554432,2,1,0,1,0.117548,2727951
33554432,2,1,1,0,0.15317,1766811
33554432,2,1,1,1,0.117548,1753711
33554432,4,1,0,0,0.15317,1766811
33554432,4,1,0,1,0.117548,2727951
33554432,4,1,1,0,0.15317,1766811
33554432,4,1,1,1,0.117548,1753711
33554432,8,1,0,0,0.15317,1766811
33554432,8,1,0,1,0.117548,2727951
33554432,8,1,1,0,0.15317,1766811
33554432,8,1,1,1,0.117548,1753711
33554432,16,1,0,0,0.104178,1646811
33554432,16,1,0,1,0.0905417,2615991
33554432,16,1,1,0,0.104178,1646811
33554432,16,1,1,1,0.0905417,1634911
33554432,32,1,0,0,0.0709855,1534771
33554432,32,1,0,1,0.0637502,2523991
33554432,32,1,1,0,0.0709855,1534771
33554432,32,1,1,1,0.0637502,1526591
33554432,64,1,0,0,0.0362623,1401211
33554432,64,1,0,1,0.0323716,2394731
33554432,64,1,1,0,0.0362623,1401211
33554432,64,1,1,1,0.0323716,1388971
33554432,128,1,0,0,0.0181892,1326731
33554432,128,1,0,1,0.0163535,2333171
33554432,128,1,1,0,0.0181892,1326731
33554432,128,1,1,1,0.0163535,1320931
33554432,256,1,0,0,0.00895486,1289011
33554432,256,1,0,1,0.00824123,2304511
33554432,256,1,1,0,0.00895486,1289011
33554432,256,1,1,1,0.00824123,1287731
33554432,1,2,0,0,0.15317,1766811
33554432,1,2,0,1,0.117548,2727951
33554432,1,2,1,0,0.15317,1766811
33554432,1,2,1,1,0.117548,1753711
33554432,2,2,0,0,0.15317,1766811
33554432,2,2,0,1,0.117548,2727951
33554432,2,2,1,0,0.15317,1766811
33554432,2,2,1,1,0.117548,1753711
33554432,4,2,0,0,0.15317,1766811
33554432,4,2,0,1,0.117548,2727951
33554432,4,2,1,0,0.15317,1766811
33554432,4,2,1,1,0.117548,1753711
33554432,8,2,0,0,0.15317,1766811
33554432,8,2,0,1,0.117548,2727951
33554432,8,2,1,0,0.15317,1766811
33554432,8,2,1,1,0.117548,1753711
33554432,16,2,0,0,0.104178,1646811
33554432,16,2,0,1,0.0905417,2615991
33554432,16,2,1,0,0.104178,1646811
33554432,16,2,1,1,0.0905417,1634911
33554432,32,2,0,0,0.0709855,1534771
33554432,32,2,0,1,0.0637502,2523991
33554432,32,2,1,0,0.0709855,1534771
33554432,32,2,1,1,0.0637502,1526591
33554432,64,2,0,0,0.0362623,1401211
33554432,64,2,0,1,0.0323716,2394731
33554432,64,2,1,0,0.0362623,1401211
33554432,64,2,1,1,0.0323716,1388971
33554432,128,2,0,0,0.0181892,1326731
33554432,128,2,0,1,0.0163535,2333171
33554432,128,2,1,0,0.0181892,1326731
33554432,128,2,1,1,0.0163535,1320931
33554432,256,2,0,0,0.00895486,1289011
33554432,256,2,0,1,0.00824123,2304511
33554432,256,2,1,0,0.00895486,1289011
33554432,256,2,1,1,0.00824123,1287731
33554432,1,4,0,0,0.15317,1766811
33554432,1,4,0,1,0.117548,2727951
33554432,1,4,1,0,0.15317,1766811
33554432,1,4,1,1,0.117548,1753711
33554432,2,4,0,0,0.15317,1766811
33554432,2,4,0,1,0.117548,2727951
33554432,2,4,1,0,0.15317,1766811
33554432,2,4,1,1,0.117548,1753711
33554432,4,4,0,0,0.15317,1766811
33554432,4,4,0,1,0.117548,2727951
33554432,4,4,1,0,0.15317,1766811
33554432,4,4,1,1,0.117548,1753711
33554432,8,4,0,0,0.15317,1766811
33554432,8,4,0,1,0.117548,2727951
33554432,8,4,1,0,0.15317,1766811
33554432,8,4,1,1,0.117548,1753711
33554432,16,4,0,0,0.104178,1646811
33554432,16,4,0,1,0.0905417,2615991
33554432,16,4,1,0,0.104178,1646811
33554432,16,4,1,1,0.0905417,1634911
33554432,32,4,0,0,0.0709855,1534771
33554432,32,4,0,1,0.0637502,2523991
33554432,32,4,1,0,0.0709855,1534771
33554432,32,4,1,1,0.0637502,1526591
33554432,64,4,0,0,0.0362623,1401211
33554432,64,4,0,1,0.0323716,2394731
33554432,64,4,1,0,0.0362623,1401211
33554432,64,4,1,1,0.0323716,1388971
33554432,128,4,0,0,0.0181892,1326731
33554432,128,4,0,1,0.0163535,2333171
33554432,128,4,1,0,0.0181892,1326731
33554432,128,4,1,1,0.0163535,1320931
33554432,256,4,0,0,0.00895486,1289011
33554432,256,4,0,1,0.00824123,2304511
33554432,256,4,1,0,0.00895486,1289011
33554432,256,4,1,1,0.00824123,1287731
33554432,1,8,0,0,0.15317,1766811
33554432,1,8,0,1,0.117548,2727951
33554432,1,8,1,0,0.15317,1766811
33554432,1,8,1,1,0.117548,1753711
33554432,2,8,0,0,0.15317,1766811
33554432,2,8,0,1,0.117548,2727951
33554432,2,8,1,0,0.15317,1766811
33554432,2,8,1,1,0.117548,1753711
33554432,4,8,0,0,0.15317,1766811
33554432,4,8,0,1,0.117548,2727951
33554432,4,8,1,0,0.15317,1766811
33554432,4,8,1,1,0.117548,1753711
33554432,8,8,0,0,0.15317,1766811
33554432,8,8,0,1,0.117548,2727951
33554432,8,8,1,0,0.15317,1766811
33554432,8,8,1,1,0.117548,1753711
33554432,16,8,0,0,0.104178,1646811
33554432,16,8,0,1,0.0905417,2615991
33554432,16,8,1,0,0.104178,1646811
33554432,16,8,1,1,0.0905417,1634911
33554432,32,8,0,0,0.0709855,1534771
33554432,32,8,0,1,0.0637502,2523991
33554432,32,8,1,0,0.0709855,1534771
33554432,32,8,1,1,0.0637502,1526591
33554432,64,8,0,0,0.0362623,1401211
33554432,64,8,0,1,0.0323716,2394731
33554432,64,8,1,0,0.0362623,1401211
33554432,64,8,1,1,0.0323716,1388971
33554432,128,8,0,0,0.0181892,1326731
33554432,128,8,0,1,0.0163535,2333171
33554432,128,8,1,0,0.0181892,1326731
33554432,128,8,1,1,0.0163535,1320931
33554432,256,8,0,0,0.00895486,1289011
33554432,256,8,0,1,0.00824123,2304511
33554432,256,8,1,0,0.00895486,1289011
33554432,256,8,1,1,0.00824123,1287731
33554432,1,16,0,0,0.15317,1766811
33554432,1,16,0,1,0.117548,2727951
33554432,1,16,1,0,0.15317,1766811
33554432,1,16,1,1,0.117548,1753711
33554432,2,16,0,0,0.15317,1766811
33554432,2,16,0,1,0.117548,2727951
33554432,2,16,1,0,0.15317,1766811
33554432,2,16,1,1,0.117548,1753711
33554432,4,16,0,0,0.15317,1766811
33554432,4,16,0,1,0.117548,2727951
33554432,4,16,1,0,0.15317,1766811
33554432,4,16,1,1,0.117548,1753711
33554432,8,16,0,0,0.15317,1766811
33554432,8,16,0,1,0.117548,2727951
33554432,8,16,1,0,0.15317,1766811
33554432,8,16,1,1,0.117548,1753711
33554432,16,16,0,0,0.104178,1646811
33554432,16,16,0,1,0.0905417,2615991
33554432,16,16,1,0,0.104178,1646811
33554432,16,16,1,1,0.0905417,1634911
33554432,32,16,0,0,0.0709855,1534771
33554432,32,16,0,1,0.0637502,2523991
33554432,32,16,1,0,0.0709855,1534771
33554432,32,16,1,1,0.0637502,1526591
33554432,64,16,0,0,0.0362623,1401211
33554432,64,16,0,1,0.0323716,2394731
33554432,64,16,1,0,0.0362623,1401211
33554432,64,16,1,1,0.0323716,1388971
33554432,128,16,0,0,0.0181892,1326731
33554432,128,16,0,1,0.0163535,2333171
33554432,128,16,1,0,0.0181892,1326731
33554432,128,16,1,1,0.0163535,1320931
33554432,256,16,0,0,0.00895486,1289011
33554432,256,16,0,1,0.00824123,2304511
33554432,256,16,1,0,0.00895486,1289011
33554432,256,16,1,1,0.00824123,1287731
33554432,1,32,0,0,0.15317,1766811
33554432,1,32,0,1,0.117548,2727951
33554432,1,32,1,0,0.15317,1766811
33554432,1,32,1,1,0.117548,1753711
33554432,2,32,0,0,0.15317,1766811
33554432,2,32,0,1,0.117548,2727951
33554432,2,32,1,0,0.15317,1766811
33554432,2,32,1,1,0.117548,1753711
33554432,4,32,0,0,0.15317,1766811
33554432,4,32,0,1,0.117548,2727951
33554432,4,32,1,0,0.15317,1766811
33554432,4,32,1,1,0.117548,1753711
33554432,8,32,0,0,0.15317,1766811
33554432,8,32,0,1,0.117548,2727951
33554432,8,32,1,0,0.15317,1766811
33554432,8,32,1,1,0.117548,1753711
33554432,16,32,0,0,0.104178,1646811
33554432,16,32,0,1,0.0905417,2615991
33554432,16,32,1,0,0.104178,1646811
33554432,16,32,1,1,0.0905417,1634911
33554432,32,32,0,0,0.0709855,1534771
33554432,32,32,0,1,0.0637502,2523991
33554432,32,32,1,0,0.0709855,1534771
33554432,32,32,1,1,0.0637502,1526591
33554432,64,32,0,0,0.0362623,1401211
33554432,64,32,0,1,0.0323716,2394731
33554432,64,32,1,0,0.0362623,1401211
33554432,64,32,1,1,0.0323716,1388971
33554432,128,32,0,0,0.0181892,1326731
33554432,128,32,0,1,0.0163535,2333171
33554432,128,32,1,0,0.0181892,1326731
33554432,128,32,1,1,0.0163535,1320931
33554432,256,32,0,0,0.00895486,1289011
33554432,256,32,0,1,0.00824123,2304511
33554432,256,32,1,0,0.00895486,1289011
33554432,256,32,1,1,0.00824123,1287731
